source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
and get right to the top.,めざすよ,Time: 0:02:11.641000,,0:02:11.641000,0:02:12.446000,0:02:11.641000,0:02:12.446000
"To do that,",そのために,Time: 0:02:12.719000,,0:02:12.719000,0:02:13.394000,0:02:12.719000,0:02:13.394000
"we're going to sprint on the spot just like this,",その場で、全力ダッシュを,Time: 0:02:13.549000,,0:02:13.549000,0:02:15.377000,0:02:13.549000,0:02:15.377000
as quick as you can.,していこう。,Time: 0:02:15.709000,,0:02:15.709000,0:02:16.913000,0:02:15.709000,0:02:16.913000
"And then,",もし,Time: 0:02:17.213000,,0:02:17.213000,0:02:17.820000,0:02:17.213000,0:02:17.820000
"as the gumdrops come,",飴が落ちてきたら,Time: 0:02:17.820000,,0:02:17.820000,0:02:19.125000,0:02:17.820000,0:02:19.125000
"we're going to hop over them, just like this.",僕みたいにジャンプしてね。,Time: 0:02:19.266000,,0:02:19.266000,0:02:21.088000,0:02:19.266000,0:02:21.088000
"Follow me,",僕に、,Time: 0:02:21.893000,,0:02:21.893000,0:02:22.532000,0:02:21.893000,0:02:22.532000
and we can do this.,ついてきて～,Time: 0:02:22.697000,,0:02:22.697000,0:02:23.662000,0:02:22.697000,0:02:23.662000
"Ready, kids?",準備はいい！？,Time: 0:02:23.662000,,0:02:23.662000,0:02:24.470000,0:02:23.662000,0:02:24.470000
Let's go.,レッツゴー,Time: 0:02:24.470000,,0:02:24.470000,0:02:25.030000,0:02:24.470000,0:02:25.030000
"OK,",よし。,Time: 0:02:25.543000,,0:02:25.543000,0:02:25.801000,0:02:25.543000,0:02:25.801000
we're going to have to start quick.,全力でダッシュしていこう！！,Time: 0:02:25.801000,,0:02:25.801000,0:02:27.613000,0:02:25.801000,0:02:27.613000
"This is a big mountain. So the faster we go,",全力を尽くしてリンゴを,Time: 0:02:27.613000,,0:02:27.613000,0:02:29.919000,0:02:27.613000,0:02:29.919000
the quicker we can get to the top.,早く助けよう！,Time: 0:02:29.919000,,0:02:29.919000,0:02:31.754000,0:02:29.919000,0:02:31.754000
"And remember, this is",とてもいい運動だね。,Time: 0:02:32.198000,,0:02:32.198000,0:02:33.774000,0:02:32.198000,0:02:33.774000
"So let me give you max energy. Come on, kids.",みんな、一緒に頑張ろう！,Time: 0:02:34.596000,,0:02:34.596000,0:02:37.680000,0:02:34.596000,0:02:37.680000
"OK, now come the first gumdrops.",ガムドロップだ！,Time: 0:02:38.191000,,0:02:38.191000,0:02:40.179000,0:02:38.191000,0:02:40.179000
"Ready, hop,",ジャンプして！,Time: 0:02:40.179000,,0:02:40.179000,0:02:40.822000,0:02:40.179000,0:02:40.822000
"and again, hop,",もう一回,Time: 0:02:41.417000,,0:02:41.417000,0:02:42.147000,0:02:41.417000,0:02:42.147000
"and again, hop.",もう一回だ,Time: 0:02:43.030000,,0:02:43.030000,0:02:43.794000,0:02:43.030000,0:02:43.794000
Last one.,最後だ,Time: 0:02:44.472000,,0:02:44.472000,0:02:45.699000,0:02:44.472000,0:02:45.699000
"Excellent work, kids. Now sprint again.",次はその場でダッシュ！,Time: 0:02:45.780000,,0:02:45.780000,0:02:47.995000,0:02:45.780000,0:02:47.995000
"Come on, let's go, let's go, let's go.",いい調子！頑張ろう！,Time: 0:02:47.995000,,0:02:47.995000,0:02:50.102000,0:02:47.995000,0:02:50.102000
All the way to the top.,もう少しだ,Time: 0:02:50.102000,,0:02:50.102000,0:02:51.345000,0:02:50.102000,0:02:51.345000
"Here we go, we're halfway.",半分まできたよ,Time: 0:02:51.345000,,0:02:51.345000,0:02:52.766000,0:02:51.345000,0:02:52.766000
"Wow, this is tough.",わぁ、,Time: 0:02:52.766000,,0:02:52.766000,0:02:53.877000,0:02:52.766000,0:02:53.877000
"More gumdrops. Ready,",またきたよ,Time: 0:02:53.877000,,0:02:53.877000,0:02:55.099000,0:02:53.877000,0:02:55.099000
"hop, sprint again.",ジャンプ、ダッシュ,Time: 0:02:55.208000,,0:02:55.208000,0:02:56.425000,0:02:55.208000,0:02:56.425000
"More gumdrops, hop,",ジャンプ！,Time: 0:02:56.511000,,0:02:56.511000,0:02:57.954000,0:02:56.511000,0:02:57.954000
"hop again,",もう一度,Time: 0:02:58.548000,,0:02:58.548000,0:02:59.244000,0:02:58.548000,0:02:59.244000
and again.,もう一回,Time: 0:02:59.940000,,0:02:59.940000,0:03:00.636000,0:02:59.940000,0:03:00.636000
"OK, last little bit.",あきらめないで,Time: 0:03:01.112000,,0:03:01.112000,0:03:02.462000,0:03:01.112000,0:03:02.462000
I can see one or two more gumdrops left.,あと二回だよ！,Time: 0:03:02.462000,,0:03:02.462000,0:03:05.137000,0:03:02.462000,0:03:05.137000
"Come on,",もう少し！,Time: 0:03:05.137000,,0:03:05.137000,0:03:05.659000,0:03:05.137000,0:03:05.659000
"last one now, hop,",ジャンプ,Time: 0:03:05.659000,,0:03:05.659000,0:03:06.898000,0:03:05.659000,0:03:06.898000
"and again, hop,",最後だ！,Time: 0:03:07.546000,,0:03:07.546000,0:03:08.887000,0:03:07.546000,0:03:08.887000
"and last little bit,",もうちょっと、,Time: 0:03:09.550000,,0:03:09.550000,0:03:11.033000,0:03:09.550000,0:03:11.033000
and we made it.,ついたーー！,Time: 0:03:11.033000,,0:03:11.033000,0:03:12.163000,0:03:11.033000,0:03:12.163000
Look at that.,よかった～,Time: 0:03:12.792000,,0:03:12.792000,0:03:13.631000,0:03:12.792000,0:03:13.631000
The apples are all safe.,リンゴは皆無事だ,Time: 0:03:13.632000,,0:03:13.632000,0:03:14.868000,0:03:13.632000,0:03:14.868000
I guess they're just enjoying the nice view.,どうやら景色を楽しんでるみたいだね,Time: 0:03:16.494000,,0:03:16.494000,0:03:18.429000,0:03:16.494000,0:03:18.429000
"Come on, guys.",ほら、,Time: 0:03:18.955000,,0:03:18.955000,0:03:19.781000,0:03:18.955000,0:03:19.781000
"Into the bag, please.",バッグに入って。,Time: 0:03:19.781000,,0:03:19.781000,0:03:20.992000,0:03:19.781000,0:03:20.992000
"Now the next fruit on the map are mangoes, and it looks like they're hiding in a cupcake maze.",次はマンゴーを助けに行くよ！地図によるとカップケーキの迷路に隠れているみたいだね。,Time: 0:03:22.266000,,0:03:22.266000,0:03:27.634000,0:03:22.266000,0:03:27.634000
"Hmm,",。,Time: 0:03:27.648000,,0:03:27.648000,0:03:27.978000,0:03:27.648000,0:03:27.978000
those are some pretty cheeky mangoes.,いたずら好きのマンゴーたちを,Time: 0:03:27.978000,,0:03:27.978000,0:03:30.558000,0:03:27.978000,0:03:30.558000
"To find them, we're going to do scissor kicks on the spot like this,",見つけるために僕の動きを真似して、,Time: 0:03:30.982000,,0:03:30.982000,0:03:33.653000,0:03:30.982000,0:03:33.653000
and then you're going to follow my directions.,ついてきてね！,Time: 0:03:33.709000,,0:03:33.709000,0:03:35.345000,0:03:33.709000,0:03:35.345000
"We're either going to go straight,",まっすぐ進むか～,Time: 0:03:35.819000,,0:03:35.819000,0:03:36.709000,0:03:35.819000,0:03:36.709000
"to the left, or",左か、,Time: 0:03:36.743000,,0:03:36.743000,0:03:38.378000,0:03:36.743000,0:03:38.378000
to the right.,右に行くよ,Time: 0:03:38.845000,,0:03:38.845000,0:03:39.829000,0:03:38.845000,0:03:39.829000
"Ready, kids, let's go.",準備はいいかな？,Time: 0:03:39.829000,,0:03:39.829000,0:03:41.439000,0:03:39.829000,0:03:41.439000
"OK,",OK,Time: 0:03:41.853000,,0:03:41.853000,0:03:42.466000,0:03:41.853000,0:03:42.466000
"this is a big maze, so we're going to have to use max effort to find them all.",とてもでかい迷路だけど、あきらめずに頑張ろうね。,Time: 0:03:42.538000,,0:03:42.538000,0:03:46.109000,0:03:42.538000,0:03:46.109000
"OK, to the left,",左にいくよ,Time: 0:03:46.369000,,0:03:46.369000,0:03:47.356000,0:03:46.369000,0:03:47.356000
there we go.,いいね,Time: 0:03:47.852000,,0:03:47.852000,0:03:48.548000,0:03:47.852000,0:03:48.548000
"Wow, that's a lot of cupcakes.",わぁ、すごい量のカップケーキだ,Time: 0:03:48.955000,,0:03:48.955000,0:03:50.910000,0:03:48.955000,0:03:50.910000
And to the right.,右にいくよ～,Time: 0:03:50.926000,,0:03:50.926000,0:03:51.989000,0:03:50.926000,0:03:51.989000
"Excellent, kids.",その調子だ,Time: 0:03:52.453000,,0:03:52.453000,0:03:53.481000,0:03:52.453000,0:03:53.481000
And straight.,まっすぐ～,Time: 0:03:53.621000,,0:03:53.621000,0:03:54.527000,0:03:53.621000,0:03:54.527000
There's the first one.,いたよ！！,Time: 0:03:54.695000,,0:03:54.695000,0:03:55.815000,0:03:54.695000,0:03:55.815000
"Speed up, come on.",スピードあげて。,Time: 0:03:55.893000,,0:03:55.893000,0:03:56.852000,0:03:55.893000,0:03:56.852000
"Come on, you little cheeky mango.",来て、マンゴーちゃん！,Time: 0:03:57.072000,,0:03:57.072000,0:03:58.590000,0:03:57.072000,0:03:58.590000
You're not going to get away from us.,にがさないぞ～,Time: 0:03:58.770000,,0:03:58.770000,0:04:00.189000,0:03:58.770000,0:04:00.189000
"And we got him, yes!",捕まえた！,Time: 0:04:00.354000,,0:04:00.354000,0:04:01.601000,0:04:00.354000,0:04:01.601000
Into the bag.,カバンに入れて,Time: 0:04:01.619000,,0:04:01.619000,0:04:02.642000,0:04:01.619000,0:04:02.642000
"OK, turn left.",左にいくよ,Time: 0:04:02.643000,,0:04:02.643000,0:04:04.041000,0:04:02.643000,0:04:04.041000
"Oh, this is tough work, isn't it?",だんだん疲れてきたね,Time: 0:04:04.235000,,0:04:04.235000,0:04:05.778000,0:04:04.235000,0:04:05.778000
And to the right.,右だ,Time: 0:04:05.778000,,0:04:05.778000,0:04:06.594000,0:04:05.778000,0:04:06.594000
Here we go.,いいね,Time: 0:04:07.105000,,0:04:07.105000,0:04:07.910000,0:04:07.105000,0:04:07.910000
Straight again.,まっすぐだ,Time: 0:04:08.208000,,0:04:08.208000,0:04:08.972000,0:04:08.208000,0:04:08.972000
And to the left.,ひだり！,Time: 0:04:09.702000,,0:04:09.702000,0:04:10.398000,0:04:09.702000,0:04:10.398000
"Come on, kids,",いい調子だ,Time: 0:04:10.913000,,0:04:10.913000,0:04:11.706000,0:04:10.913000,0:04:11.706000
there's another one!,みつけたよ！,Time: 0:04:11.728000,,0:04:11.728000,0:04:12.808000,0:04:11.728000,0:04:12.808000
"Speed it up. Let's go, let's go.",スピードあげて,Time: 0:04:12.893000,,0:04:12.893000,0:04:14.252000,0:04:12.893000,0:04:14.252000
"Come on, cheeky mango, we're going to get you.",捕まえるぞ～、マンゴ～ちゃん！,Time: 0:04:14.348000,,0:04:14.348000,0:04:16.499000,0:04:14.348000,0:04:16.499000
"And we got him, yes.",よし！ バッグに,Time: 0:04:16.519000,,0:04:16.519000,0:04:17.728000,0:04:16.519000,0:04:17.728000
Into the bag.,入れて！,Time: 0:04:17.875000,,0:04:17.875000,0:04:18.673000,0:04:17.875000,0:04:18.673000
"OK, straight now.",まっすぐいくよ,Time: 0:04:18.721000,,0:04:18.721000,0:04:19.963000,0:04:18.721000,0:04:19.963000
And then to the right.,右いって,Time: 0:04:20.422000,,0:04:20.422000,0:04:21.498000,0:04:20.422000,0:04:21.498000
"Come on, kids, this is fired up. Let's go.",気合いれて～！,Time: 0:04:21.569000,,0:04:21.569000,0:04:23.393000,0:04:21.569000,0:04:23.393000
And straight again.,まっすぐだ,Time: 0:04:23.413000,,0:04:23.413000,0:04:24.505000,0:04:23.413000,0:04:24.505000
There's the last one.,最後だよ！,Time: 0:04:24.586000,,0:04:24.586000,0:04:25.688000,0:04:24.586000,0:04:25.688000
"Speed up, come on.",スピードあげて！！,Time: 0:04:25.786000,,0:04:25.786000,0:04:26.950000,0:04:25.786000,0:04:26.950000
And we got him.,よし、ゲット!,Time: 0:04:27.002000,,0:04:27.002000,0:04:28.284000,0:04:27.002000,0:04:28.284000
"Yes, kids.",いいね,Time: 0:04:28.307000,,0:04:28.307000,0:04:29.380000,0:04:28.307000,0:04:29.380000
Into the bag.,バッグに入れて,Time: 0:04:29.477000,,0:04:29.477000,0:04:30.709000,0:04:29.477000,0:04:30.709000
Glad those cheeky mangoes are in our bag.,やっとマンゴー達がそろったね,Time: 0:04:30.861000,,0:04:30.861000,0:04:33.437000,0:04:30.861000,0:04:33.437000
Now to get out of here.,ここからどうやって出るんだ。,Time: 0:04:34.269000,,0:04:34.269000,0:04:35.509000,0:04:34.269000,0:04:35.509000
Time to focus it.,頭のひらめき,Time: 0:04:37.122000,,0:04:37.122000,0:04:39.196000,0:04:37.122000,0:04:39.196000
Unpeel your brain.,スイッチ～、オン！,Time: 0:04:39.196000,,0:04:39.196000,0:04:41.161000,0:04:39.196000,0:04:41.161000
"According to our map, the grapes are on Candy Floss Lane. Let's head over.",地図によると、ブドウ達はワタ飴の道に、 いるみたいだね、行ってみよう。,Time: 0:04:43.692000,,0:04:43.692000,0:04:48.025000,0:04:43.692000,0:04:48.025000
"Oh no,",まぁ！,Time: 0:04:50.309000,,0:04:50.309000,0:04:50.687000,0:04:50.309000,0:04:50.687000
it looks like our little grape friends are stuck in a,ブドウは、ワタ飴にひっついてしまったみたいだね。,Time: 0:04:50.687000,,0:04:50.687000,0:04:54.508000,0:04:50.687000,0:04:54.508000
sticky floss.,大変だ。,Time: 0:04:54.508000,,0:04:54.508000,0:04:55.681000,0:04:54.508000,0:04:55.681000
Let's help them out.,助けてあげようね。,Time: 0:04:55.817000,,0:04:55.817000,0:04:56.969000,0:04:55.817000,0:04:56.969000
"To do that, we're going to bounce on one leg like this,",じゃ、私みたいにカタ足でスクワットして,Time: 0:04:57.113000,,0:04:57.113000,0:04:59.811000,0:04:57.113000,0:04:59.811000
"reach down,",ブドウを,Time: 0:04:59.811000,,0:04:59.811000,0:05:00.583000,0:04:59.811000,0:05:00.583000
grab our little grape friend,助けてあげよう,Time: 0:05:01.655000,,0:05:01.655000,0:05:03.118000,0:05:01.655000,0:05:03.118000
and put it in the bag.,バッグに入れて,Time: 0:05:03.118000,,0:05:03.118000,0:05:04.191000,0:05:03.118000,0:05:04.191000
And then,次は,Time: 0:05:04.191000,,0:05:04.191000,0:05:04.838000,0:05:04.191000,0:05:04.838000
"repeat on the other side,",こんな風に、,Time: 0:05:04.845000,,0:05:04.845000,0:05:05.833000,0:05:04.845000,0:05:05.833000
just like this.,逆むき！,Time: 0:05:05.833000,,0:05:05.833000,0:05:06.680000,0:05:05.833000,0:05:06.680000
"Excellent, let's go.",かんぺき！じゃあ,Time: 0:05:09.159000,,0:05:09.159000,0:05:10.874000,0:05:09.159000,0:05:10.874000
"Okay, balancing here,",いくよ～,Time: 0:05:11.366000,,0:05:11.366000,0:05:12.801000,0:05:11.366000,0:05:12.801000
maximum focus.,バランスとって～。,Time: 0:05:12.801000,,0:05:12.801000,0:05:14.095000,0:05:12.801000,0:05:14.095000
"All right, let's reach down to grab the grape.",ぶどうを取るために手を下に出して～、,Time: 0:05:14.151000,,0:05:14.151000,0:05:16.932000,0:05:14.151000,0:05:16.932000
"Go, you got him.",ゲット～。,Time: 0:05:16.969000,,0:05:16.969000,0:05:18.897000,0:05:16.969000,0:05:18.897000
"Yes,",やった,Time: 0:05:19.193000,,0:05:19.193000,0:05:19.596000,0:05:19.193000,0:05:19.596000
"okay, first one done.",いい感じだね。,Time: 0:05:19.596000,,0:05:19.596000,0:05:21.008000,0:05:19.596000,0:05:21.008000
Other side.,逆むき！,Time: 0:05:21.008000,,0:05:21.008000,0:05:21.891000,0:05:21.008000,0:05:21.891000
Now this takes maximum effort.,頑張るよ！,Time: 0:05:21.931000,,0:05:21.931000,0:05:23.888000,0:05:21.931000,0:05:23.888000
Let's go.,いくよ！,Time: 0:05:23.888000,,0:05:23.888000,0:05:24.575000,0:05:23.888000,0:05:24.575000
"Go, whoa,",わぁ！,Time: 0:05:25.679000,,0:05:25.679000,0:05:26.498000,0:05:25.679000,0:05:26.498000
it's a bit wobbly.,危ないっ,Time: 0:05:26.514000,,0:05:26.514000,0:05:28.241000,0:05:26.514000,0:05:28.241000
"Yes,",よし！,Time: 0:05:28.870000,,0:05:28.870000,0:05:29.516000,0:05:28.870000,0:05:29.516000
"okay, now this floss is sticky,",凄くベタベタだよ！,Time: 0:05:30.076000,,0:05:30.076000,0:05:31.540000,0:05:30.076000,0:05:31.540000
"so come on,",私に、,Time: 0:05:31.625000,,0:05:31.625000,0:05:32.209000,0:05:31.625000,0:05:32.209000
stick with me.,ついてきてね,Time: 0:05:32.371000,,0:05:32.371000,0:05:33.238000,0:05:32.371000,0:05:33.238000
"Okay, balancing here.",バランスとるよ。,Time: 0:05:33.238000,,0:05:33.238000,0:05:34.697000,0:05:33.238000,0:05:34.697000
Get that little grape.,ブドウを取って！,Time: 0:05:34.847000,,0:05:34.847000,0:05:36.120000,0:05:34.847000,0:05:36.120000
"Oh, it's so sticky.",すごいひっつきぐあい！,Time: 0:05:36.731000,,0:05:36.731000,0:05:38.802000,0:05:36.731000,0:05:38.802000
"Yes,",やった！,Time: 0:05:39.083000,,0:05:39.083000,0:05:39.724000,0:05:39.083000,0:05:39.724000
"okay, here's another one.",次にいってみよう！,Time: 0:05:39.862000,,0:05:39.862000,0:05:41.076000,0:05:39.862000,0:05:41.076000
"Okay, we've got to be gentle, they're just grapes.",ブドウだから、やさしくね,Time: 0:05:41.379000,,0:05:41.379000,0:05:44.185000,0:05:41.379000,0:05:44.185000
Don't squeeze too hard.,つぶさないようにね！,Time: 0:05:44.847000,,0:05:44.847000,0:05:46.751000,0:05:44.847000,0:05:46.751000
