source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
Perfect!,かんぺき！,Time: 0:02:53.520000,,0:02:53.520000,0:02:54.300000,0:02:53.520000,0:02:54.300000
"Well done, everybody.",良くやったね！,Time: 0:02:54.725000,,0:02:54.725000,0:02:55.770000,0:02:54.725000,0:02:55.770000
Now those will work...,この腕は,Time: 0:02:56.215000,,0:02:56.215000,0:02:57.545000,0:02:56.215000,0:02:57.545000
and they're strong and they look so cool.,とてもかっこよくてつよそうだね！,Time: 0:02:58,,0:02:58,0:03:00.380000,0:02:58,0:03:00.380000
"Now for the last part, the legs.",最後は足だよ！,Time: 0:03:00.844000,,0:03:00.844000,0:03:03.505000,0:03:00.844000,0:03:03.505000
These will allow us to be super quick and to help us fly.,あしを選んだら、はやく動けるし、そらもとべる！,Time: 0:03:03.810000,,0:03:03.810000,0:03:07.325000,0:03:03.810000,0:03:07.325000
"You guessed it. As always, we're going to swipe through the options just like this.",さっきと同じようにスワイプして、カッコイイ足を選んでいこう！,Time: 0:03:07.925000,,0:03:07.925000,0:03:11.840000,0:03:07.925000,0:03:11.840000
But this time we're going to hop on the spot like this to attach the legs.,足をつけるために今回はその場でジャンプするよ。,Time: 0:03:12.290000,,0:03:12.290000,0:03:15.555000,0:03:12.290000,0:03:15.555000
"Ready, kids? Let's go. Maximum effort. Here we go. First one.",みんな、準備はいい？頑張っていこう！,Time: 0:03:16.851000,,0:03:16.851000,0:03:20.230000,0:03:16.851000,0:03:20.230000
"Jelly. Let's try it. Okay, hop on the spot. Here we go.",ゼリー。試してみよう。その場でジャンプして,Time: 0:03:21.476000,,0:03:21.476000,0:03:24.616000,0:03:21.476000,0:03:24.616000
That seems way too...,うーん。。,Time: 0:03:25.042000,,0:03:25.042000,0:03:26.340000,0:03:25.042000,0:03:26.340000
nah... wobbly.,ちょっと。。,Time: 0:03:27.812000,,0:03:27.812000,0:03:28.760000,0:03:27.812000,0:03:28.760000
Let's not do that one.,やめておこう！,Time: 0:03:28.810000,,0:03:28.810000,0:03:29.750000,0:03:28.810000,0:03:29.750000
"Next one. Okay, here we go.",次は何かな？,Time: 0:03:30.155000,,0:03:30.155000,0:03:31.268000,0:03:30.155000,0:03:31.268000
"Wood. Maybe, let's try.",きだね。 いくよ。,Time: 0:03:31.865000,,0:03:31.865000,0:03:33.200000,0:03:31.865000,0:03:33.200000
"Okay, here we go. Might be a good option.",よし！これはいけるかも！,Time: 0:03:33.550000,,0:03:33.550000,0:03:35.450000,0:03:33.550000,0:03:35.450000
"Come on, everybody. Give it all you got. Let's see it.",みんな！諦めずにジャンプしようね！,Time: 0:03:35.980000,,0:03:35.980000,0:03:38.820000,0:03:35.980000,0:03:38.820000
"All right. Nope, way too stiff. Next one.",うーん。かたすぎるね、つぎいこう！,Time: 0:03:39.172000,,0:03:39.172000,0:03:42.370000,0:03:39.172000,0:03:42.370000
Okay. Spaghetti. Let's try it.,スパゲッティ。やってみよう。,Time: 0:03:42.835000,,0:03:42.835000,0:03:45.125000,0:03:42.835000,0:03:45.125000
"Okay, hop on the spot. Come on, everybody. Give it all you've got.",その場でジャンプして！がんばってね！,Time: 0:03:45.520000,,0:03:45.520000,0:03:48.390000,0:03:45.520000,0:03:48.390000
"All right, noodles as legs. No way.",やっぱり、無理だったね！,Time: 0:03:49.380000,,0:03:49.380000,0:03:52.050000,0:03:49.380000,0:03:52.050000
Next one!,つぎ！,Time: 0:03:52.570000,,0:03:52.570000,0:03:53.155000,0:03:52.570000,0:03:53.155000
"String beans. Okay, let's try it. Come on, everybody. Give it all you've got.",いんげん！とりあえずやってみよう。諦めないでね！,Time: 0:03:53.440000,,0:03:53.440000,0:03:57.160000,0:03:53.440000,0:03:57.160000
"Nope, way too stringy. One more, come on. Okay, that looks cool. Let's try. Here we go. Keep going. Yes.",ちょっとよわそうだね、、つぎにいこう！ いいね！かっこいい！さっそく試してみよう。,Time: 0:03:58.114000,,0:03:58.114000,0:04:05.827000,0:03:58.114000,0:04:05.827000
It's attached.,ぴったり！,Time: 0:04:05.930000,,0:04:05.930000,0:04:07.005000,0:04:05.930000,0:04:07.005000
Now those are perfect. And look at the cool rockets on the side.,完ぺき！しかも、よこにかっこいいロケットまでついてる！,Time: 0:04:07.448000,,0:04:07.448000,0:04:12.175000,0:04:07.448000,0:04:12.175000
Time to focus it. Let's get our mech on.,みんな、集中して、メカに乗っていこう！,Time: 0:04:13.199000,,0:04:13.199000,0:04:15.844000,0:04:13.199000,0:04:15.844000
"Now that the body's built, let's hop in and boot that mech up.",からだができあがったから、メカにのってうごかしてみよう！,Time: 0:04:19.853000,,0:04:19.853000,0:04:23.046000,0:04:19.853000,0:04:23.046000
"Yes, we're ready to help the city. And there seems to be a lot going on. Remember, whatever we do, the mech will do. Let's go kids.",町が僕たちの助けを呼んでいるみたいだ！ 僕たちがする動きはメカも同じようにしてくれることを忘れないで！みんな、行くよ！,Time: 0:04:27.397000,,0:04:27.397000,0:04:35.861000,0:04:27.397000,0:04:35.861000
"Looks like there's a massive fire down at the harbour. Let's help out. To do that, we're going to lunge forward on one leg, arm straight out to spray the fire, and then we're going to repeat on the other side. Arm straight out and spray that water. Ready kids, let's go.",どうやら港で大きな火事が起こっているみたいだ。よし、助けるために、腕をまっすぐのばして、片足を前にだして水をかけていくよ。そして反対の足でもくり返そう。腕はまっすぐのばしたまま水をかけるよ。準備はいい？,Time: 0:04:36.783000,,0:04:36.783000,0:04:51.527000,0:04:36.783000,0:04:51.527000
"We have to focus here. Arm straight out, spray the water.",集中して！腕を伸ばして水をかけるよ！,Time: 0:04:52.431000,,0:04:52.431000,0:04:55.844000,0:04:52.431000,0:04:55.844000
Controlling a mech isn't easy.,思ったより大変だ。。,Time: 0:04:56.288000,,0:04:56.288000,0:04:57.994000,0:04:56.288000,0:04:57.994000
"Okay, other leg.",反対むき！,Time: 0:04:58.216000,,0:04:58.216000,0:04:59.462000,0:04:58.216000,0:04:59.462000
Down.,しゃがんで。,Time: 0:04:59.820000,,0:04:59.820000,0:05:00.435000,0:04:59.820000,0:05:00.435000
This is a massive fire and it's so hot. I'm glad we're in the mech suit.,ふぅ、あつすぎる。。メカに守られてて本当によかった。,Time: 0:05:00.998000,,0:05:00.998000,0:05:05.588000,0:05:00.998000,0:05:05.588000
"Excellent. Right, focus kids. And forward.",とてもいい調子！反対がわ。,Time: 0:05:06.237000,,0:05:06.237000,0:05:09.889000,0:05:06.237000,0:05:09.889000
It's starting to go down a bit. We've got to keep going though.,だんだん火が小さくなってきたね！諦めないで！,Time: 0:05:10.605000,,0:05:10.605000,0:05:13.643000,0:05:10.605000,0:05:13.643000
That's it. Luckily we have these cool arms that can spray water.,水をかけられるかっこいい腕を選んでよかったね！！,Time: 0:05:13.643000,,0:05:13.643000,0:05:17.103000,0:05:13.643000,0:05:17.103000
The balloons would have never worked.,ふうせんを選んでたら大変なところだったね！,Time: 0:05:18.029000,,0:05:18.029000,0:05:20.407000,0:05:18.029000,0:05:20.407000
Here we go.,よし,Time: 0:05:20.605000,,0:05:20.605000,0:05:21.356000,0:05:20.605000,0:05:21.356000
Keep it up.,いい調子だよ！,Time: 0:05:21.459000,,0:05:21.459000,0:05:22.977000,0:05:21.459000,0:05:22.977000
See how much focus this takes? This isn't easy.,とても集中力が必要だね。大変だ！！,Time: 0:05:23.813000,,0:05:23.813000,0:05:26.493000,0:05:23.813000,0:05:26.493000
Here we go. It's almost out. Well done.,もう少しだよ！,Time: 0:05:27.090000,,0:05:27.090000,0:05:29.394000,0:05:27.090000,0:05:29.394000
Come on kids.,がんばって！,Time: 0:05:30.179000,,0:05:30.179000,0:05:30.998000,0:05:30.179000,0:05:30.998000
Max focus. It's almost there.,みんな、ぜんしゅうちゅう！,Time: 0:05:31.134000,,0:05:31.134000,0:05:33.302000,0:05:31.134000,0:05:33.302000
Let's go.,レッツゴー！,Time: 0:05:33.865000,,0:05:33.865000,0:05:34.581000,0:05:33.865000,0:05:34.581000
One more on the other side.,反対向き！,Time: 0:05:35.145000,,0:05:35.145000,0:05:36.339000,0:05:35.145000,0:05:36.339000
"Yes kids, well done. It's out.",よし！火を消せたね！！,Time: 0:05:38.472000,,0:05:38.472000,0:05:40.622000,0:05:38.472000,0:05:40.622000
Well done kids. The harbour's safe and now it's time to fly.,よくやったね！これでみなとは安全だ。次の場所に行こう！,Time: 0:05:41.680000,,0:05:41.680000,0:05:45.008000,0:05:41.680000,0:05:45.008000
The velociraptors loose in the city.,わあ、ヴェロキラプトルが街を走ってる！,Time: 0:05:47.482000,,0:05:47.482000,0:05:49.600000,0:05:47.482000,0:05:49.600000
How did this even happen?,信じられない、,Time: 0:05:49.900000,,0:05:49.900000,0:05:50.990000,0:05:49.900000,0:05:50.990000
"Oh, there's a massive time portal open over there. That's probably how they got through.",そこにタイムトラベルできる穴がある！多分あそこから入ってきたんだね。,Time: 0:05:51.500000,,0:05:51.500000,0:05:55.710000,0:05:51.500000,0:05:55.710000
Let's round them up.,つかまえにいこう！,Time: 0:05:55.710000,,0:05:55.710000,0:05:56.670000,0:05:55.710000,0:05:56.670000
"To do that, we're gonna use a force field generator. Standing feet, shoulders apart. Hand up like this. Move it across your body and lift your opposite knee up at the same time. And then repeat on the other side.",そのために、フォースフィールドジェネレーターを使うよ。あしは肩幅に開いて、手をこんな風に上げて。体の反対がわに動かしながら、手と反対がわのひざも同時に上げるんだ。そして反対側でもくり返すよ。,Time: 0:05:57.090000,,0:05:57.090000,0:06:08.830000,0:05:57.090000,0:06:08.830000
We're going to capture them and move them back into the portal. Ready kids? Let's go.,捕まえてあの穴の中に戻すんだ。準備はいい？レッツゴー！,Time: 0:06:09.991000,,0:06:09.991000,0:06:14.719000,0:06:09.991000,0:06:14.719000
"Okay, they're quick so we really have to focus here.",ヴェロキラプトルは素早いから集中していくよ。,Time: 0:06:14.923000,,0:06:14.923000,0:06:17.226000,0:06:14.923000,0:06:17.226000
"Got him. Excellent. Okay, other side now. Balance as best you can. Remember, this is focusing. Body and brain working together.",捕まえたね！！ みんな、すごい。今度ははんたいがわ！バランスをしっかりとって、頭と体を一緒に動かしていくよ,Time: 0:06:18.660000,,0:06:18.660000,0:06:26.544000,0:06:18.660000,0:06:26.544000
"See, it's not easy, but we can do it. Other side.",一緒にならできるよ！反対向き,Time: 0:06:27.073000,,0:06:27.073000,0:06:30.878000,0:06:27.073000,0:06:30.878000
Here we go. Balance.,バランスを取って、,Time: 0:06:31.339000,,0:06:31.339000,0:06:33.063000,0:06:31.339000,0:06:33.063000
Yes kids.,よし、,Time: 0:06:33.643000,,0:06:33.643000,0:06:34.769000,0:06:33.643000,0:06:34.769000
"He thought he got away, but we got him. Let's keep going.",大変だったけど捕まえたね。良くやった！,Time: 0:06:35.725000,,0:06:35.725000,0:06:38.762000,0:06:35.725000,0:06:38.762000
"I mean, velociraptor's loose in the city. This is never a good sign.",街にヴェロキラプトルがいるなんて！でも誰が,Time: 0:06:40.008000,,0:06:40.008000,0:06:43.916000,0:06:40.008000,0:06:43.916000
Who even opened that time portal?,タイムトラベルの穴を開けただろう？,Time: 0:06:44.121000,,0:06:44.121000,0:06:46.332000,0:06:44.121000,0:06:46.332000
Balance. A little bit wobbly that time. Here we go.,フラフラするけど、しっかりバランスを取って。,Time: 0:06:46.407000,,0:06:46.407000,0:06:49.940000,0:06:46.407000,0:06:49.940000
"Okay, focusing kids. Other side.",よし、反対向き！,Time: 0:06:50.059000,,0:06:50.059000,0:06:52.687000,0:06:50.059000,0:06:52.687000
That's almost all of them.,ほとんど全部捕まえたね,Time: 0:06:53.677000,,0:06:53.677000,0:06:54.889000,0:06:53.677000,0:06:54.889000
"Okay, this one's the biggest one yet. We're really going to have to focus now.",わぁ、今まででいちばん大きいね。頑張って集中していこう！,Time: 0:06:55.588000,,0:06:55.588000,0:06:59.172000,0:06:55.588000,0:06:59.172000
As slow as you can.,ゆっくーりね。,Time: 0:06:59.291000,,0:06:59.291000,0:07:00.554000,0:06:59.291000,0:07:00.554000
Bring your knee up.,ひざをあげてー！,Time: 0:07:00.998000,,0:07:00.998000,0:07:02.279000,0:07:00.998000,0:07:02.279000
It's trying to get away.,逃げようとしてる！,Time: 0:07:02.363000,,0:07:02.363000,0:07:03.438000,0:07:02.363000,0:07:03.438000
And we got it.,捕まえたぞ！！,Time: 0:07:04.940000,,0:07:04.940000,0:07:05.878000,0:07:04.940000,0:07:05.878000
That was a close one. Glad we're safe in the mech suit. Well done kids.,ふぅぅ、無事で良かった、 よくやったね！,Time: 0:07:06.407000,,0:07:06.407000,0:07:10.042000,0:07:06.407000,0:07:10.042000
"Oh no, the bridge is broken and the train's on its way.",あっ、橋が壊れてるのに電車が来てる！,Time: 0:07:11.561000,,0:07:11.561000,0:07:14.503000,0:07:11.561000,0:07:14.503000
Let's do what we do best and help.,助けに行こう！,Time: 0:07:15.160000,,0:07:15.160000,0:07:16.625000,0:07:15.160000,0:07:16.625000
We're going to have to stretch across the gap so the train can go over us.,電車が通れるように、隙間をうめよう。,Time: 0:07:17.010000,,0:07:17.010000,0:07:19.935000,0:07:17.010000,0:07:19.935000
"To do that, you're going to go down to all fours like this and then stretch your opposite hand and opposite leg out.",そのために、こんな風によつんばいになって、手と反対がわの足をのばすんだよ。,Time: 0:07:20.310000,,0:07:20.310000,0:07:25.200000,0:07:20.310000,0:07:25.200000
And then repeat on the other side just like this.,そして、反対側でもこうやってくり返そう。,Time: 0:07:25.964000,,0:07:25.964000,0:07:28.563000,0:07:25.964000,0:07:28.563000
Ready kids? Let's go.,準備はいい？いくよ。,Time: 0:07:28.882000,,0:07:28.882000,0:07:30.769000,0:07:28.882000,0:07:30.769000
"Okay, max focus.",ぜん集中してね。,Time: 0:07:30.844000,,0:07:30.844000,0:07:32.352000,0:07:30.844000,0:07:32.352000
This is going to be really tough. It's not an easy movement either.,とてもしんどくなりそうだね。簡単な動きじゃないよ。,Time: 0:07:32.704000,,0:07:32.704000,0:07:36.476000,0:07:32.704000,0:07:36.476000
"Other side. Okay, here comes the train. Ready? Nice and straight.",反対向き。電車が来るよ！いくよ、 せすじをまっすぐにね。,Time: 0:07:36.851000,,0:07:36.851000,0:07:41.476000,0:07:36.851000,0:07:41.476000
Stay as still as you can. Here we go. Stretch out.,できるだけじっとしていてね。いくよ。のばしていこう！,Time: 0:07:41.476000,,0:07:41.476000,0:07:45.025000,0:07:41.476000,0:07:45.025000
"It's quite long, so this isn't easy. Here we go.",かなり長いから、しんどいけど頑張ろうね！,Time: 0:07:45.401000,,0:07:45.401000,0:07:47.970000,0:07:45.401000,0:07:47.970000
"And other side. Luckily, the mech locks into position while we switch.",反対向き。切り替える間メカはしっかり固定されるんだ。,Time: 0:07:49.172000,,0:07:49.172000,0:07:53.182000,0:07:49.172000,0:07:53.182000
There we go. Hold it there.,よし！このままキープしよう,Time: 0:07:53.182000,,0:07:53.182000,0:07:55.029000,0:07:53.182000,0:07:55.029000
"Wow, it's a long, long train, but I can hear loads of people on it. Sometimes we're keeping them safe.",とっても長い電車だから、たくさんの人が乗ってるみたいだ。絶対に守らなきゃいけないね。,Time: 0:07:56.015000,,0:07:56.015000,0:08:01.851000,0:07:56.015000,0:08:01.851000
And switch again.,反対向き。,Time: 0:08:03.097000,,0:08:03.097000,0:08:04.155000,0:08:03.097000,0:08:04.155000
Here we go.,いいね,Time: 0:08:05.691000,,0:08:05.691000,0:08:06.390000,0:08:05.691000,0:08:06.390000
"Wow, this mech suit is amazing. Imagine if we put the jelly legs on. It would never have worked. You guys helped build a perfect mech.",このメカスーツはすごいね。ゼリーの足をつけてたら、絶対うまくいかなかったよ。みんなのおかげで完璧なメカができたね。,Time: 0:08:08.080000,,0:08:08.080000,0:08:15.861000,0:08:08.080000,0:08:15.861000
"Another super job, kids. What would the city do without us? Well done.",みんな、本当に良くやった！街を助けたね,Time: 0:08:16.783000,,0:08:16.783000,0:08:20.475000,0:08:16.783000,0:08:20.475000
Now it's time to power down,これからはリラックスする時間だよ,Time: 0:08:21.407000,,0:08:21.407000,0:08:23.728000,0:08:21.407000,0:08:23.728000
"For our first cool it exercise, we're going to sit down, squeeze our legs, and then rock forwards and backwards, just like this.",最初のクールダウンのエクササイズでは、座って足をぎゅっと閉じて、こんな風に前後にゆらゆら揺れよう。,Time: 0:08:28.455000,,0:08:28.455000,0:08:35.809000,0:08:28.455000,0:08:35.809000
"All right, ready kids? Let's go. Squeeze your legs. That's it.",準備はいい？足をぎゅっと閉じて。いいね。,Time: 0:08:36.732000,,0:08:36.732000,0:08:40.383000,0:08:36.732000,0:08:40.383000
And then rocking forwards and backwards.,前後にゆらゆら、揺れるよ。,Time: 0:08:40.981000,,0:08:40.981000,0:08:43.592000,0:08:40.981000,0:08:43.592000
You can even close your eyes during this.,目を閉じながらしても大丈夫だよ。,Time: 0:08:45.418000,,0:08:45.418000,0:08:47.721000,0:08:45.418000,0:08:47.721000
Nice and calming.,いい感じだね,Time: 0:08:47.721000,,0:08:47.721000,0:08:48.882000,0:08:47.721000,0:08:48.882000
You can also focus on your breath,前後にゆらゆら揺れながら,Time: 0:08:52.585000,,0:08:52.585000,0:08:54.087000,0:08:52.585000,0:08:54.087000
as you rock forwards,呼吸にも意識を,Time: 0:08:55.076000,,0:08:55.076000,0:08:56.885000,0:08:55.076000,0:08:56.885000
and backwards.,向けてみよう,Time: 0:08:57.244000,,0:08:57.244000,0:08:58.250000,0:08:57.244000,0:08:58.250000
Just make sure you don't go too wild.,倒れないように気をつけてね。,Time: 0:09:02.414000,,0:09:02.414000,0:09:04.684000,0:09:02.414000,0:09:04.684000
"That's it, everyone.",いい調子,Time: 0:09:08.575000,,0:09:08.575000,0:09:10.120000,0:09:08.575000,0:09:10.120000
Keep going.,頑張ってね,Time: 0:09:12.175000,,0:09:12.175000,0:09:13.233000,0:09:12.175000,0:09:13.233000
"Nice and slow, pushing off your feet.",ゆっくり足で押しながらね,Time: 0:09:14.121000,,0:09:14.121000,0:09:16.373000,0:09:14.121000,0:09:16.373000
One more here.,あと一回だよ,Time: 0:09:21.356000,,0:09:21.356000,0:09:23.145000,0:09:21.356000,0:09:23.145000
"Excellent. Now this is a perfect tool to use when you're feeling worried or even frustrated. Great job, kids.",このエクササイズを、ストレスを感じたときやむねがいっぱいになったときにしてみてね。,Time: 0:09:24.411000,,0:09:24.411000,0:09:31.800000,0:09:24.411000,0:09:31.800000
"For our final cool it exercise, we're going to do what's called a balloon breath. To do this, we're going to trace a balloon with our finger",最後のクールダウンのエクササイズでは、バルーン呼吸をしていくよ。指で風船の形をかいてみよう。,Time: 0:09:32.346000,,0:09:32.346000,0:09:39.223000,0:09:32.346000,0:09:39.223000
and breathe in.,息を吸って、,Time: 0:09:40.861000,,0:09:40.861000,0:09:42.770000,0:09:40.861000,0:09:42.770000
"Then when we get to the bottom, hold your breath.",下までいったら、息を止めて、,Time: 0:09:43.916000,,0:09:43.916000,0:09:46.532000,0:09:43.916000,0:09:46.532000
"Then as we breathe out, trace the string.",息を吐きながら、風船のひもを書いてみよう。,Time: 0:09:47.909000,,0:09:47.909000,0:09:51.295000,0:09:47.909000,0:09:51.295000
